current value: -0.15005605444312084 @ time:0 
current value: -0.15004113346265976 @ time:1000 
current value: -0.1500350679401068 @ time:2000 
current value: -0.15003421894640626 @ time:3000 
current value: -0.15003437175366513 @ time:4000 
current value: -0.15003143348365286 @ time:5000 
current value: -0.15002814754711025 @ time:6000 
current value: -0.15002813483833263 @ time:7000 
converged at T=7000current value: -0.1500560544431208 @ time:0 
current value: -0.1500560544431208 @ time:0 
current value: -0.1500411334626596 @ time:1000 
current value: -0.1500411334626596 @ time:1000 
current value: -0.15003506794011073 @ time:2000 
current value: -0.15003506794011073 @ time:2000 
current value: -0.1500342189462024 @ time:3000 
current value: -0.1500342189462024 @ time:3000 
current value: -0.15003437175209744 @ time:4000 
current value: -0.15003437175209744 @ time:4000 
current value: -0.15003143355936327 @ time:5000 
current value: -0.15003143355936327 @ time:5000 
current value: -0.15002814780315843 @ time:6000 
current value: -0.15002814780315843 @ time:6000 
current value: -0.1500281461950303 @ time:7000 
converged at T=7000current value: -0.1500281461950303 @ time:7000 
converged at T=7000
